time,size,room
210294.27945329568624099891849255072884261608123779296875,0,1
210296.426738562997892589834236787282861769199371337890625,0,0
211713.55423254232445895439695959794335067272186279296875,1,1
211713.55423254232445895439695959794335067272186279296875,0,1
211905.51652893843129543682834992068819701671600341796875,1,2
211919.01228214905700308889890948194079101085662841796875,1,1
211919.01228214905700308889890948194079101085662841796875,0,1
211962.49307793370742114547056189621798694133758544921875,0,0
212183.77920106036833924889606350916437804698944091796875,1,1
212183.77920106036833924889606350916437804698944091796875,0,1
212367.90571285270650303544925918686203658580780029296875,0,0
215190.82632325403381212680642420309595763683319091796875,1,1
215190.82632325403381212680642420309595763683319091796875,0,1
215283.18684263206592088835122922318987548351287841796875,0,0
216055.21510377512948064548936599749140441417694091796875,1,1
216055.21510377512948064548936599749140441417694091796875,0,1
216188.89673803968907161987544895964674651622772216796875,0,0
217080.16339602428604660389055425184778869152069091796875,1,1
217080.16339602428604660389055425184778869152069091796875,0,1
217120.71001023677362962160941606271080672740936279296875,0,0
218981.82649401310993919622660541790537536144256591796875,1,1
218981.82649401310993919622660541790537536144256591796875,0,1
219064.88842912630613835034409930813126266002655029296875,0,0
221001.33803480187123380318325871485285460948944091796875,1,1
221001.33803480187123380318325871485285460948944091796875,0,1
221049.48784032475447514087818490224890410900115966796875,0,0
221699.25331622151623189864722007769159972667694091796875,1,1
221699.25331622151623189864722007769159972667694091796875,0,1
221871.57176816899903126767412686604075133800506591796875,0,0
223232.96504240223055415270891899126581847667694091796875,1,1
223232.96504240223055415270891899126581847667694091796875,0,1
223329.46115142989565338638158209505490958690643310546875,0,0
224975.09150742546683243716643119114451110363006591796875,1,1
224975.09150742546683243716643119114451110363006591796875,0,1
225032.78829677362340344615176945808343589305877685546875,0,0
225674.93871899614737497330452242749743163585662841796875,1,1
225674.93871899614737497330452242749743163585662841796875,0,1
225835.36611767441741260853405037778429687023162841796875,0,0
225913.95715509031774370640732740866951644420623779296875,1,1
225913.95715509031774370640732740866951644420623779296875,0,1
226133.95737669950972570376279691117815673351287841796875,0,0
228710.40590827258197048621468638884834945201873779296875,1,1
228710.40590827258197048621468638884834945201873779296875,0,1
228767.05654339063262181497293568099848926067352294921875,0,0
229155.96228803102704585370474887895397841930389404296875,1,1
229155.96228803102704585370474887895397841930389404296875,0,1
229366.16730303337314733624907603370957076549530029296875,0,0
230943.62732911654316847460677308845333755016326904296875,1,1
230943.62732911654316847460677308845333755016326904296875,0,1
230944.55581672208915378075033686400274746119976043701171875,0,0
231426.83730054664696051958117095637135207653045654296875,1,1
231426.83730054664696051958117095637135207653045654296875,0,1
231513.89540269992969268031401952612213790416717529296875,0,0
231535.76629254207206809468289065989665687084197998046875,1,1
231535.76629254207206809468289065989665687084197998046875,0,1
231574.14834372385823524354009350645355880260467529296875,0,0
232085.71425647703280770173250857624225318431854248046875,1,1
232085.71425647703280770173250857624225318431854248046875,0,1
232184.58208864549361560847273722174577414989471435546875,0,0
232666.97678196898586389096408311161212623119354248046875,1,1
232666.97678196898586389096408311161212623119354248046875,0,1
232814.60237691224235145881493735942058265209197998046875,0,0
233631.29927991305830214940897349151782691478729248046875,1,1
233631.29927991305830214940897349151782691478729248046875,0,1
233703.58507114662210124578223258140496909618377685546875,0,0
236357.48998993910881250002375963958911597728729248046875,1,1
236357.48998993910881250002375963958911597728729248046875,0,1
236419.06651954740166399204781555454246699810028076171875,0,0
237370.74141355108862949663262043031863868236541748046875,1,1
237370.74141355108862949663262043031863868236541748046875,0,1
237474.90013840212093310100271992268972098827362060546875,0,0
238806.56043794022743309568568292888812720775604248046875,1,1
238806.56043794022743309568568292888812720775604248046875,0,1
238884.70098458998401991237869879114441573619842529296875,0,0
240201.17175799615042119938834730419330298900604248046875,1,1
240201.17175799615042119938834730419330298900604248046875,0,1
240362.56192103696169493076695289346389472484588623046875,0,0
246615.61244222145241433707951728138141334056854248046875,1,1
246615.61244222145241433707951728138141334056854248046875,0,1
246676.86087138484532044202524048159830272197723388671875,0,0
248306.81426261113792275381229046615771949291229248046875,1,1
248306.81426261113792275381229046615771949291229248046875,0,1
248308.6733928795245074372388671690714545547962188720703125,0,0
249940.31499629654298910708121184143237769603729248046875,1,1
249940.31499629654298910708121184143237769603729248046875,0,1
249967.51503179910932228580122682615183293819427490234375,0,0
252230.63984433993836642429187122615985572338104248046875,1,1
252230.63984433993836642429187122615985572338104248046875,0,1
252431.07741838405665912858921728911809623241424560546875,0,0
254122.70118587131482268404170099529437720775604248046875,1,1
254122.70118587131482268404170099529437720775604248046875,0,1
254322.03257227271781726329891171189956367015838623046875,0,0
257327.66743771440578125719866875442676246166229248046875,1,1
257327.66743771440578125719866875442676246166229248046875,0,1
257365.18419564763339035806666288408450782299041748046875,0,0
257487.31737830792669097235148001345805823802947998046875,1,1
257487.31737830792669097235148001345805823802947998046875,0,1
257590.38101193161786550689384966972284018993377685546875,0,0
258304.15925750820760509185447517666034400463104248046875,1,1
258304.15925750820760509185447517666034400463104248046875,0,1
258829.49660612698245909513161677750758826732635498046875,0,0
259495.80677667612657710805024180444888770580291748046875,1,1
259495.80677667612657710805024180444888770580291748046875,0,1
259496.02069920037137518153969040213269181549549102783203125,0,0
259793.10198708215519314279617901775054633617401123046875,1,1
259793.10198708215519314279617901775054633617401123046875,0,1
259839.74208752766795793576193318585865199565887451171875,1,2
259919.56004012400383640368772830697707831859588623046875,1,1
259919.56004012400383640368772830697707831859588623046875,0,1
260063.46859375694519922461722671869210898876190185546875,0,0
261611.51478934265625309052438751677982509136199951171875,1,1
261611.51478934265625309052438751677982509136199951171875,0,1
261618.45543112060885881930971663678064942359924316406250,1,2
261797.92114634264577954780861546169035136699676513671875,1,1
261797.92114634264577954780861546169035136699676513671875,0,1
261819.46541614888616589240655230241827666759490966796875,0,0
262908.40636408862996553637003671610727906227111816406250,1,1
262908.40636408862996553637003671610727906227111816406250,0,1
262910.0667383277741053770881762829958461225032806396484375,0,0
263077.63736842051172892809063341701403260231018066406250,1,1
263077.63736842051172892809063341701403260231018066406250,0,1
263215.51691990187179648330584313953295350074768066406250,0,0
264032.74562946626576298569943901384249329566955566406250,1,1
264032.74562946626576298569943901384249329566955566406250,0,1
