time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
19470.0316172685396924890710579347796738147735595703125,begin,1,1,0.0164864054,0.2200278481,7.6426389313,94.3561505782,101.9987895095,0.18751117361900000000
19591.4465815712660532454947315272875130176544189453125,finish,0,1,0.0163842335,0.2248616051,7.4649031422,94.3561505782,102.4503284582,0.18851642341640000000
22187.9924702885722656020561771583743393421173095703125,arrive,0,0,0.0144668715,0.1985472156,7.4649031422,94.9854253160,102.4503284582,0.19043378541640000000
22187.9924702885722656020561771583743393421173095703125,begin,1,1,0.0144668715,0.1985472156,7.4649031422,94.9854253160,102.4503284582,0.19043378541640000000
22253.4891580363994041391606515389867126941680908203125,finish,0,1,0.0144242924,0.2009060593,7.2952462526,94.9854253160,101.6104729875,0.18879665357500000000
22437.8020798543027201077393328887410461902618408203125,arrive,0,0,0.0143058056,0.1992557380,7.2952462526,94.3152267349,101.6104729875,0.18891514037500000000
22437.8020798543027201077393328887410461902618408203125,begin,1,1,0.0143058056,0.1992557380,7.2952462526,94.3152267349,101.6104729875,0.18891514037500000000
22443.37321553412285712880702703841961920261383056640625,finish,0,1,0.0143022545,0.1994545073,7.1331296692,94.3152267349,99.4762654918,0.18465027648360000000
22483.7376308247187726152560571790672838687896728515625,arrive,0,0,0.0142765780,0.1990964323,7.1331296692,92.3431358226,99.4762654918,0.18467595298360000000
22483.7376308247187726152560571790672838687896728515625,begin,1,1,0.0142765780,0.1990964323,7.1331296692,92.3431358226,99.4762654918,0.18467595298360000000
22497.5655785137183517718995062750764191150665283203125,finish,0,1,0.0142678031,0.1995887012,6.9780616329,92.3431358226,97.6143455396,0.18096088797920000000
23217.7243641115132195551495897234417498111724853515625,arrive,0,0,0.0138252496,0.1933979327,6.9780616329,90.6362839066,97.6143455396,0.18140344147920000000
23217.7243641115132195551495897234417498111724853515625,begin,1,1,0.0138252496,0.1933979327,6.9780616329,90.6362839066,97.6143455396,0.18140344147920000000
23251.5722729097639831508104180102236568927764892578125,finish,0,1,0.0138051239,0.1945721240,6.8295922365,90.6362839066,96.2576128429,0.17871010178580000000
25079.1658114832152168816037374199368059635162353515625,arrive,0,0,0.0127991033,0.1803930736,6.8295922365,89.4280206064,96.2576128429,0.17971612238580000000
25079.1658114832152168816037374199368059635162353515625,begin,1,1,0.0127991033,0.1803930736,6.8295922365,89.4280206064,96.2576128429,0.17971612238580000000
25286.6138795123172915424447637633420526981353759765625,finish,0,1,0.0126941012,0.1871170214,6.6873090649,89.4280206064,98.5740806593,0.18445406011860000000
25798.3122275396438372041529873968102037906646728515625,arrive,0,0,0.0124423192,0.1834056364,6.6873090649,91.8867715944,98.5740806593,0.18470584211860000000
25798.3122275396438372041529873968102037906646728515625,begin,1,1,0.0124423192,0.1834056364,6.6873090649,91.8867715944,98.5740806593,0.18470584211860000000
25800.1428486389498762054728331349906511604785919189453125,finish,0,1,0.0124414364,0.1834635769,6.5508333697,91.8867715944,96.5997243418,0.18075801228360000000
25913.7907512547455528562068138853646814823150634765625,arrive,0,0,0.0123868730,0.1826589764,6.5508333697,90.0488909721,96.5997243418,0.18081257568360000000
25913.7907512547455528562068138853646814823150634765625,begin,1,1,0.0123868730,0.1826589764,6.5508333697,90.0488909721,96.5997243418,0.18081257568360000000
